food_id,meal_name,base_name,meal_type,category,cuisine,portion_profile,ingredients,variant_addons,allergens,condition_flags,cross_contamination_risks,cultural_flags,fodmap_level,acidity_level,glycemic_index,nutrition_source,nutrition_source_ids,nutrition_source_ingredients,nutrition_source_unmapped_ingredients,nutrition_source_fdc_ids,clinical_rule_sources,source_rule_matches,allergen_rule_source,source_confidence,source_note,vegetarian,vegan,pescatarian,contains_dairy,contains_gluten,contains_tree_nuts,contains_peanuts,contains_shellfish,contains_soy,contains_sesame,contains_eggs,contains_pork,contains_beef,contains_meat,contains_fish,contains_honey,calories,protein_g,carbs_g,fat_g,fiber_g,iron_mg,calcium_mg,vitamin_b12_mcg,vitamin_d_mcg,zinc_mg,potassium_mg,magnesium_mg,sodium_mg,omega3_g,dedup_signature
NUTRI-00001,Quinoa banana breakfast bowl - garden light variant 1,Quinoa banana breakfast bowl,Breakfast,grain bowl,American,light (0.84x),quinoa; banana; chia; fortified oat milk; spinach,spinach,,,gluten; tree nuts,,low,low,48.0,USDA FoodData Central ingredient reference cache + deterministic recipe-template scaling,FDC:168917; FDC:2709224; FDC:2710819; FDC:173904; FDC:2709614,quinoa->quinoa (FDC:168917; api_match); banana->banana (FDC:2709224; api_match); chia->chia (FDC:2710819; api_match); fortified oat milk->fortified oat milk (FDC:173904; api_match); spinach->spinach (FDC:2709614; api_match),,FDC:168917; FDC:2709224; FDC:2710819; FDC:173904; FDC:2709614,USDA FoodData Central; Monash Low-FODMAP; NIH DRI/RDA; Glycaemic Index; DASH; internal allergen/low-acid rule maps,FODMAP:quinoa=low; GI:quinoa=low/medium,Internal allergen keyword map matched against meal and USDA ingredient terms,usda_fdc_api_mapped,"Meal candidate generated from curated recipe templates; every ingredient is checked against the local USDA FoodData Central source-reference cache before writing. API-matched ingredients retain FDC IDs, API-limited ingredients retain explicit offline source-reference IDs, and clinical filters use professor-listed FODMAP, GI, DASH, and RDA references plus internal allergen/low-acid rule maps.",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,378.0,14.28,57.96,10.08,10.92,4.2,327.6,0.924,3.78,2.436,772.8,155.4,134.4,1.092,f4fd4dc64c9fadd3
NUTRI-00002,Egg spinach rice plate - herb high energy variant 2,Egg spinach rice plate,Breakfast,egg plate,Mediterranean,high energy (1.12x),egg; spinach; brown rice; olive oil; parsley; dill; chia; flax,"low sodium herb sauce, chia flax mix",eggs,,,,low,low,45.0,USDA FoodData Central ingredient reference cache + deterministic recipe-template scaling,FDC:2707152; FDC:2709614; FDC:2512380; USDA-REF-6AA3C4572C; USDA-REF-62021EC709; USDA-REF-AF2532AAF7; FDC:2710819; USDA-REF-031AD55DEB,egg->egg (FDC:2707152; api_match); spinach->spinach (FDC:2709614; api_match); brown rice->brown rice (FDC:2512380; api_match); olive oil->olive oil (USDA-REF-6AA3C4572C; offline_reference_used_after_api_http_error_429); parsley->parsley (USDA-REF-62021EC709; offline_reference_used_after_api_http_error_429); dill->dill (USDA-REF-AF2532AAF7; offline_reference_used_after_api_http_error_429); chia->chia (FDC:2710819; api_match); flax->flax (USDA-REF-031AD55DEB; offline_reference_used_after_api_http_error_429),,FDC:2707152; FDC:2709614; FDC:2512380; FDC:2710819,USDA FoodData Central; Monash Low-FODMAP; NIH DRI/RDA; Glycaemic Index; DASH; internal allergen/low-acid rule maps,FDA allergen:eggs; FODMAP:rice=low,Internal allergen keyword map matched against meal and USDA ingredient terms,usda_hybrid_reference_mapped,"Meal candidate generated from curated recipe templates; every ingredient is checked against the local USDA FoodData Central source-reference cache before writing. API-matched ingredients retain FDC IDs, API-limited ingredients retain explicit offline source-reference IDs, and clinical filters use professor-listed FODMAP, GI, DASH, and RDA references plus internal allergen/low-acid rule maps.",True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,672.0,30.24,56.0,35.84,13.44,6.16,336.0,1.68,3.808,3.92,952.0,207.2,296.8,2.688,c1d177134f4868da
NUTRI-00003,Tofu vegetable scramble - market low volume variant 3,Tofu vegetable scramble,Breakfast,plant protein,Californian,low volume (0.82x),tofu; zucchini; spinach; turmeric; quinoa; avocado; pumpkin seeds; nutritional yeast,"avocado, pumpkin seeds, nutritional yeast",soy,,,,low,low,38.0,USDA FoodData Central ingredient reference cache + deterministic recipe-template scaling,FDC:172475; USDA-REF-3A8F2CA363; FDC:2709614; USDA-REF-565C7FA57A; FDC:168917; USDA-REF-FDB7388828; USDA-REF-F42D2F8575; USDA-REF-F1FD05F9B3,tofu->tofu (FDC:172475; api_match); zucchini->zucchini (USDA-REF-3A8F2CA363; offline_reference_used_after_api_http_error_429); spinach->spinach (FDC:2709614; api_match); turmeric->turmeric (USDA-REF-565C7FA57A; offline_reference_used_after_api_http_error_429); quinoa->quinoa (FDC:168917; api_match); avocado->avocado (USDA-REF-FDB7388828; offline_reference_used_after_api_http_error_429); pumpkin seeds->pumpkin seeds (USDA-REF-F42D2F8575; offline_reference_used_after_api_http_error_429); nutritional yeast->nutritional yeast (USDA-REF-F1FD05F9B3; offline_reference_used_after_api_http_error_429),,FDC:172475; FDC:2709614; FDC:168917,USDA FoodData Central; Monash Low-FODMAP; NIH DRI/RDA; Glycaemic Index; DASH; internal allergen/low-acid rule maps,FDA allergen:soy; FODMAP:quinoa=low; GI:quinoa=low/medium,Internal allergen keyword map matched against meal and USDA ingredient terms,usda_hybrid_reference_mapped,"Meal candidate generated from curated recipe templates; every ingredient is checked against the local USDA FoodData Central source-reference cache before writing. API-matched ingredients retain FDC IDs, API-limited ingredients retain explicit offline source-reference IDs, and clinical filters use professor-listed FODMAP, GI, DASH, and RDA references plus internal allergen/low-acid rule maps.",True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,553.5,32.8,42.64,30.34,13.94,6.97,381.3,2.624,4.1,5.412,1143.9,229.6,258.3,0.738,310e08cd7e9cee0c
NUTRI-00004,Greek yogurt berry oat parfait - weeknight steady variant 4,Greek yogurt berry oat parfait,Breakfast,parfait,American,steady (0.96x),greek yogurt; blueberries; certified oats; pumpkin seeds,blueberry side,dairy,,,,low,low,43.0,USDA FoodData Central ingredient reference cache + deterministic recipe-template scaling,FDC:2705441; FDC:2709275; USDA-REF-C419C5BF7E; USDA-REF-F42D2F8575,greek yogurt->greek yogurt (FDC:2705441; api_match); blueberries->blueberries (FDC:2709275; api_match); certified oats->certified oats (USDA-REF-C419C5BF7E; offline_reference_used_after_api_http_error_429); pumpkin seeds->pumpkin seeds (USDA-REF-F42D2F8575; offline_reference_used_after_api_http_error_429),,FDC:2705441; FDC:2709275,USDA FoodData Central; Monash Low-FODMAP; NIH DRI/RDA; Glycaemic Index; DASH; internal allergen/low-acid rule maps,FDA allergen:milk/dairy,Internal allergen keyword map matched against meal and USDA ingredient terms,usda_hybrid_reference_mapped,"Meal candidate generated from curated recipe templates; every ingredient is checked against the local USDA FoodData Central source-reference cache before writing. API-matched ingredients retain FDC IDs, API-limited ingredients retain explicit offline source-reference IDs, and clinical filters use professor-listed FODMAP, GI, DASH, and RDA references plus internal allergen/low-acid rule maps.",True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,441.6,27.84,59.52,10.56,10.56,2.784,420.48,1.632,1.824,2.496,667.2,113.28,141.12,0.192,ca8eaca7bdafd82a
NUTRI-00005,Almond chia smoothie - training compact variant 5,Almond chia smoothie,Breakfast,smoothie,American,compact (0.88x),almond milk; chia; banana; spinach; nutritional yeast; parsley; dill; olive oil,"nutritional yeast, low sodium herb sauce",tree nuts,,,,low,low,44.0,USDA FoodData Central ingredient reference cache + deterministic recipe-template scaling,USDA-REF-A188829D82; FDC:2710819; FDC:2709224; FDC:2709614; USDA-REF-F1FD05F9B3; USDA-REF-62021EC709; USDA-REF-AF2532AAF7; USDA-REF-6AA3C4572C,almond milk->almond milk (USDA-REF-A188829D82; offline_reference_used_after_api_http_error_429); chia->chia (FDC:2710819; api_match); banana->banana (FDC:2709224; api_match); spinach->spinach (FDC:2709614; api_match); nutritional yeast->nutritional yeast (USDA-REF-F1FD05F9B3; offline_reference_used_after_api_http_error_429); parsley->parsley (USDA-REF-62021EC709; offline_reference_used_after_api_http_error_429); dill->dill (USDA-REF-AF2532AAF7; offline_reference_used_after_api_http_error_429); olive oil->olive oil (USDA-REF-6AA3C4572C; offline_reference_used_after_api_http_error_429),,FDC:2710819; FDC:2709224; FDC:2709614,USDA FoodData Central; Monash Low-FODMAP; NIH DRI/RDA; Glycaemic Index; DASH; internal allergen/low-acid rule maps,FDA allergen:tree nuts,Internal allergen keyword map matched against meal and USDA ingredient terms,usda_hybrid_reference_mapped,"Meal candidate generated from curated recipe templates; every ingredient is checked against the local USDA FoodData Central source-reference cache before writing. API-matched ingredients retain FDC IDs, API-limited ingredients retain explicit offline source-reference IDs, and clinical filters use professor-listed FODMAP, GI, DASH, and RDA references plus internal allergen/low-acid rule maps.",True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,426.8,15.84,45.76,22.0,13.2,3.696,440.0,2.992,2.2,2.992,774.4,154.0,171.6,1.848,e300689602bfcffe
NUTRI-00006,Millet peanut porridge - balanced recovery variant 6,Millet peanut porridge,Breakfast,porridge,West African,recovery (1.15x),millet; peanut butter; banana; flax; pumpkin seeds; tomato; lime; orange; avocado,"pumpkin seeds, tomato citrus salsa, avocado",peanuts,reflux trigger,,,low,high,50.0,USDA FoodData Central ingredient reference cache + deterministic recipe-template scaling,USDA-REF-7275CFFBBC; USDA-REF-42820C10B1; FDC:2709224; USDA-REF-031AD55DEB; USDA-REF-F42D2F8575; USDA-REF-321F6B7E8B; USDA-REF-CBD777D761; USDA-REF-EF0EBBB772; USDA-REF-FDB7388828,millet->millet (USDA-REF-7275CFFBBC; offline_reference_used_after_api_http_error_429); peanut butter->peanut butter (USDA-REF-42820C10B1; offline_reference_used_after_api_http_error_429); banana->banana (FDC:2709224; api_match); flax->flax (USDA-REF-031AD55DEB; offline_reference_used_after_api_http_error_429); pumpkin seeds->pumpkin seeds (USDA-REF-F42D2F8575; offline_reference_used_after_api_http_error_429); tomato->tomato (USDA-REF-321F6B7E8B; offline_reference_used_after_api_http_error_429); lime->lime (USDA-REF-CBD777D761; offline_reference_used_after_api_http_error_429); orange->orange (USDA-REF-EF0EBBB772; offline_reference_used_after_api_http_error_429); avocado->avocado (USDA-REF-FDB7388828; offline_reference_used_after_api_http_error_429),,FDC:2709224,USDA FoodData Central; Monash Low-FODMAP; NIH DRI/RDA; Glycaemic Index; DASH; internal allergen/low-acid rule maps,FDA allergen:peanuts; GERD:citrus; GERD:tomato,Internal allergen keyword map matched against meal and USDA ingredient terms,usda_hybrid_reference_mapped,"Meal candidate generated from curated recipe templates; every ingredient is checked against the local USDA FoodData Central source-reference cache before writing. API-matched ingredients retain FDC IDs, API-limited ingredients retain explicit offline source-reference IDs, and clinical filters use professor-listed FODMAP, GI, DASH, and RDA references plus internal allergen/low-acid rule maps.",True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,805.0,28.75,88.55,40.25,20.7,7.36,258.75,0.0,0.0,6.21,1638.75,335.8,253.0,2.3,30a47e301815cce4
NUTRI-00007,Corn tortilla egg tacos - fresh hearty variant 7,Corn tortilla egg tacos,Breakfast,tacos,Mexican,hearty (1.06x),corn tortilla; egg; spinach; avocado; chia; flax,chia flax mix,eggs,,,,low,low,47.0,USDA FoodData Central ingredient reference cache + deterministic recipe-template scaling,USDA-REF-8D2AA577D0; FDC:2707152; FDC:2709614; USDA-REF-FDB7388828; FDC:2710819; USDA-REF-031AD55DEB,corn tortilla->corn tortilla (USDA-REF-8D2AA577D0; offline_reference_used_after_api_http_error_429); egg->egg (FDC:2707152; api_match); spinach->spinach (FDC:2709614; api_match); avocado->avocado (USDA-REF-FDB7388828; offline_reference_used_after_api_http_error_429); chia->chia (FDC:2710819; api_match); flax->flax (USDA-REF-031AD55DEB; offline_reference_used_after_api_http_error_429),,FDC:2707152; FDC:2709614; FDC:2710819,USDA FoodData Central; Monash Low-FODMAP; NIH DRI/RDA; Glycaemic Index; DASH; internal allergen/low-acid rule maps,FDA allergen:eggs,Internal allergen keyword map matched against meal and USDA ingredient terms,usda_hybrid_reference_mapped,"Meal candidate generated from curated recipe templates; every ingredient is checked against the local USDA FoodData Central source-reference cache before writing. API-matched ingredients retain FDC IDs, API-limited ingredients retain explicit offline source-reference IDs, and clinical filters use professor-listed FODMAP, GI, DASH, and RDA references plus internal allergen/low-acid rule maps.",True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,583.0,27.56,54.06,29.68,15.9,5.3,286.2,1.484,3.392,3.71,954.0,201.4,265.0,2.65,78e47e5d30480c93
NUTRI-00008,Smoked salmon rice breakfast - mineral mineral focus variant 8,Smoked salmon rice breakfast,Breakfast,fish plate,Nordic,mineral focus (1.09x),salmon; brown rice; cucumber; dill; pumpkin seeds; nutritional yeast,"pumpkin seeds, nutritional yeast",,,,,low,low,44.0,USDA FoodData Central ingredient reference cache + deterministic recipe-template scaling,USDA-REF-4FFCF321C7; FDC:2512380; USDA-REF-868D099240; USDA-REF-AF2532AAF7; USDA-REF-F42D2F8575; USDA-REF-F1FD05F9B3,salmon->salmon (USDA-REF-4FFCF321C7; offline_reference_used_after_api_http_error_429); brown rice->brown rice (FDC:2512380; api_match); cucumber->cucumber (USDA-REF-868D099240; offline_reference_used_after_api_http_error_429); dill->dill (USDA-REF-AF2532AAF7; offline_reference_used_after_api_http_error_429); pumpkin seeds->pumpkin seeds (USDA-REF-F42D2F8575; offline_reference_used_after_api_http_error_429); nutritional yeast->nutritional yeast (USDA-REF-F1FD05F9B3; offline_reference_used_after_api_http_error_429),,FDC:2512380,USDA FoodData Central; Monash Low-FODMAP; NIH DRI/RDA; Glycaemic Index; DASH; internal allergen/low-acid rule maps,FDA allergen:fish; FODMAP:rice=low,Internal allergen keyword map matched against meal and USDA ingredient terms,usda_hybrid_reference_mapped,"Meal candidate generated from curated recipe templates; every ingredient is checked against the local USDA FoodData Central source-reference cache before writing. API-matched ingredients retain FDC IDs, API-limited ingredients retain explicit offline source-reference IDs, and clinical filters use professor-listed FODMAP, GI, DASH, and RDA references plus internal allergen/low-acid rule maps.",False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,648.55,44.69,55.59,27.25,9.81,4.796,158.05,6.758,8.72,5.232,1057.3,218.0,545.0,2.289,0278e1a46113593c
NUTRI-00009,Lentil dosa coconut plate - fiber standard variant 9,Lentil dosa coconut plate,Breakfast,savory pancake,Indian,standard (0.90x),lentil dosa; coconut chutney; spinach; fortified oat milk; avocado,"spinach, fortified oat milk, avocado",,,,,medium,low,49.0,USDA FoodData Central ingredient reference cache + deterministic recipe-template scaling,USDA-REF-912D25EC81; USDA-REF-51B0E3C976; FDC:2709614; FDC:173904; USDA-REF-FDB7388828,lentil dosa->lentil dosa (USDA-REF-912D25EC81; offline_reference_used_after_api_http_error_429); coconut chutney->coconut chutney (USDA-REF-51B0E3C976; offline_reference_used_after_api_http_error_429); spinach->spinach (FDC:2709614; api_match); fortified oat milk->fortified oat milk (FDC:173904; api_match); avocado->avocado (USDA-REF-FDB7388828; offline_reference_used_after_api_http_error_429),,FDC:2709614; FDC:173904,USDA FoodData Central; Monash Low-FODMAP; NIH DRI/RDA; Glycaemic Index; DASH; internal allergen/low-acid rule maps,,Internal allergen keyword map matched against meal and USDA ingredient terms,usda_hybrid_reference_mapped,"Meal candidate generated from curated recipe templates; every ingredient is checked against the local USDA FoodData Central source-reference cache before writing. API-matched ingredients retain FDC IDs, API-limited ingredients retain explicit offline source-reference IDs, and clinical filters use professor-listed FODMAP, GI, DASH, and RDA references plus internal allergen/low-acid rule maps.",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,576.0,21.6,72.9,23.4,15.3,5.94,432.0,1.08,5.4,3.42,1228.5,198.0,342.0,0.36,314ecea840ce80e0
NUTRI-00010,Chicken sweet potato hash - protein athlete variant 10,Chicken sweet potato hash,Breakfast,hash,American,athlete (1.18x),chicken; sweet potato; bell pepper; kale; parsley; dill; olive oil,low sodium herb sauce,,,,,low,low,54.0,USDA FoodData Central ingredient reference cache + deterministic recipe-template scaling,USDA-REF-CEF7E59218; USDA-REF-2BB35AD78C; USDA-REF-7B2CF3F9DC; USDA-REF-17BFAB9228; USDA-REF-62021EC709; USDA-REF-AF2532AAF7; USDA-REF-6AA3C4572C,chicken->chicken (USDA-REF-CEF7E59218; offline_reference_used_after_api_http_error_429); sweet potato->sweet potato (USDA-REF-2BB35AD78C; offline_reference_used_after_api_http_error_429); bell pepper->bell pepper (USDA-REF-7B2CF3F9DC; offline_reference_used_after_api_http_error_429); kale->kale (USDA-REF-17BFAB9228; offline_reference_used_after_api_http_error_429); parsley->parsley (USDA-REF-62021EC709; offline_reference_used_after_api_http_error_429); dill->dill (USDA-REF-AF2532AAF7; offline_reference_used_after_api_http_error_429); olive oil->olive oil (USDA-REF-6AA3C4572C; offline_reference_used_after_api_http_error_429),,,USDA FoodData Central; Monash Low-FODMAP; NIH DRI/RDA; Glycaemic Index; DASH; internal allergen/low-acid rule maps,,Internal allergen keyword map matched against meal and USDA ingredient terms,usda_source_reference_mapped,"Meal candidate generated from curated recipe templates; every ingredient is checked against the local USDA FoodData Central source-reference cache before writing. API-matched ingredients retain FDC IDs, API-limited ingredients retain explicit offline source-reference IDs, and clinical filters use professor-listed FODMAP, GI, DASH, and RDA references plus internal allergen/low-acid rule maps.",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,672.6,40.12,57.82,28.32,9.44,3.776,212.4,0.708,0.472,2.95,1144.6,147.5,377.6,0.118,30058f0e2da7de7a
